Municipality,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic
Bridgewater,44.7%,"1,422",102,199,64,30,45336,31.8883870305,22.6%,2.9%,2.0%,0.0%,1.7%,0.0%,70.7%,9.2%,90.8%
Morristown,44.5%,"6,474",103,60,64,79,18833,2.909136087,6.1%,9.1%,3.1%,0.0%,8.6%,0.0%,73.1%,32.7%,67.3%
Lumberton,44.4%,962,104,225,64,21,12390,12.8826651096,3.1%,17.9%,5.2%,0.0%,1.7%,0.0%,72.1%,5.7%,94.3%
Cresskill,44.4%,"4,280",105,101,63,65,8811,2.0587608756,27.4%,0.4%,2.0%,0.0%,0.9%,0.0%,69.3%,7.6%,92.4%
Millburn,44.2%,"2,184",106,172,63,40,20387,9.3332729061,20.9%,3.1%,2.4%,0.0%,2.0%,0.0%,71.6%,4.4%,95.6%
River Edge,44.1%,"6,356",107,64,63,78,11648,1.8325603296,22.5%,1.0%,1.3%,0.4%,3.6%,0.0%,71.2%,11.3%,88.7%
Eatontown,43.4%,"2,099",108,176,62,38,12258,5.8406358582,8.3%,10.7%,3.2%,0.7%,3.2%,0.0%,73.9%,13.6%,86.4%
Princeton,43.1%,"1,713",109,184,62,35,30722,17.9368040709,16.9%,6.4%,2.6%,0.0%,0.9%,0.1%,73.2%,7.4%,92.6%
Cherry Hill,43.0%,"2,958",110,142,61,50,71204,24.0718921443,13.5%,6.7%,3.0%,0.1%,2.9%,0.0%,73.9%,7.0%,93.0%
Gloucester,42.9%,"2,790",111,146,61,49,64034,22.9547654622,4.1%,15.5%,3.1%,0.0%,3.5%,0.0%,73.7%,6.9%,93.1%
Deptford,42.7%,"1,763",112,182,61,36,30556,17.3306826693,5.9%,13.8%,3.3%,0.0%,3.0%,0.0%,74.0%,7.4%,92.6%
Livingston,42.5%,"2,173",113,174,60,39,29955,13.784970771,22.4%,1.6%,2.6%,0.0%,0.8%,0.2%,72.4%,4.0%,96.0%
Elmwood Park,42.4%,"7,678",114,45,60,84,20293,2.6428888629,8.5%,6.7%,3.8%,0.1%,6.1%,0.1%,74.7%,27.1%,72.9%
Hillsborough,42.2%,727,115,238,60,16,39712,54.6138002124,16.9%,5.5%,2.6%,0.2%,1.1%,0.0%,73.9%,7.7%,92.3%
Weehawken,42.0%,"18,283",116,8,59,98,14268,0.7804146636,10.0%,4.0%,4.4%,0.7%,6.0%,0.0%,75.0%,37.6%,62.4%
Mansfield,41.6%,395,117,265,59,7,8586,21.7332960273,12.2%,9.3%,2.7%,0.0%,0.9%,0.0%,74.8%,3.1%,96.9%
Clayton,41.6%,"1,198",118,211,59,26,8475,7.0746909948,1.5%,16.1%,6.8%,0.2%,0.9%,0.0%,74.4%,4.5%,95.5%
Scotch Plains,41.5%,"2,698",119,150,58,47,24339,9.0207048789,8.6%,12.4%,2.1%,0.0%,2.0%,0.0%,74.9%,8.0%,92.0%
Rutherford,41.5%,"6,696",120,58,58,80,18622,2.7810555201,17.5%,2.3%,4.4%,0.1%,1.4%,0.1%,74.3%,16.8%,83.2%
Monroe,41.3%,"1,044",121,222,58,22,43796,41.9454101781,19.8%,3.8%,1.8%,0.2%,0.5%,0.0%,73.9%,4.1%,95.9%
Millville,41.2%,672,122,244,57,14,28235,41.9991483483,1.6%,19.0%,3.3%,0.3%,1.6%,0.0%,74.2%,17.2%,82.8%
Old Bridge,41.1%,"1,752",123,183,57,36,66880,38.180920892399996,13.7%,7.0%,2.2%,0.1%,1.9%,0.0%,75.1%,13.5%,86.5%
Bordentown,41.0%,"1,386",124,204,57,28,11808,8.5199084685,10.4%,8.6%,3.2%,0.0%,2.3%,0.0%,75.5%,7.1%,92.9%
Maple Shade,40.3%,"4,948",125,85,56,70,18940,3.8276749368,7.1%,10.0%,2.1%,0.0%,4.8%,0.0%,76.1%,11.0%,89.0%
Metuchen,40.2%,"4,892",126,88,56,69,13940,2.8493172279,14.7%,5.2%,3.1%,0.0%,1.4%,0.0%,75.7%,7.0%,93.0%
Clinton,40.0%,438,127,260,55,8,13067,29.8652052699,5.2%,12.6%,2.4%,0.3%,3.4%,0.0%,76.1%,9.7%,90.3%
Springfield,39.8%,"3,399",128,132,55,54,17528,5.1568604802,9.8%,8.7%,0.9%,0.0%,4.3%,0.0%,76.3%,10.4%,89.6%
Florence,39.7%,"1,294",129,209,55,27,12645,9.7685678376,6.5%,12.7%,3.5%,0.0%,1.1%,0.0%,76.3%,6.7%,93.3%
Hamilton,39.3%,"2,265",130,167,54,41,89206,39.388455592199996,4.8%,13.9%,2.2%,0.1%,2.6%,0.1%,76.4%,14.9%,85.1%
Bernards,39.2%,"1,117",131,219,54,23,27032,24.2013472272,19.2%,2.3%,1.9%,0.0%,1.1%,0.0%,75.5%,5.4%,94.6%
Holmdel,39.1%,933,132,227,54,20,16648,17.8450887186,19.4%,1.2%,2.2%,0.1%,1.7%,0.0%,75.5%,5.5%,94.5%
Marlboro,38.8%,"1,334",133,206,53,28,40466,30.3388167654,19.4%,2.4%,1.5%,0.2%,0.8%,0.0%,75.7%,5.0%,95.0%
Montvale,38.7%,"2,098",134,177,53,38,8440,4.0231314981,15.3%,3.1%,1.1%,0.1%,3.8%,0.0%,76.6%,11.8%,88.2%
Woodland Park,38.6%,"4,273",135,102,53,64,12542,2.9349476441999998,6.4%,6.3%,3.0%,0.9%,5.9%,0.0%,77.5%,27.0%,73.0%
Somers Point,37.8%,"2,654",136,152,52,47,10644,4.0104457965,5.7%,13.8%,1.8%,0.1%,1.3%,0.0%,77.4%,10.7%,89.3%
Mount Laurel,37.7%,"1,926",137,180,52,37,41795,21.70542231,9.0%,8.8%,2.7%,0.2%,1.4%,0.0%,77.8%,4.4%,95.6%
Monroe,37.0%,792,138,235,52,17,36779,46.4187871719,2.3%,15.0%,3.3%,0.0%,1.5%,0.0%,77.8%,6.3%,93.7%
Westwood,36.9%,"4,979",139,83,51,71,11246,2.2585417569,8.8%,6.9%,1.4%,0.0%,4.3%,0.0%,78.5%,16.6%,83.4%
Fairview,36.6%,"17,095",140,11,51,96,14422,0.8436562992,3.7%,3.1%,2.2%,0.4%,11.9%,0.0%,78.5%,58.5%,41.5%
Upper Saddle River,36.5%,"1,588",141,190,51,33,8339,5.2528345155,14.0%,3.7%,3.5%,0.0%,0.5%,0.0%,78.3%,6.4%,93.6%
Perth Amboy,36.4%,"11,276",142,23,50,92,52563,4.6613408985,1.5%,8.2%,1.7%,0.2%,9.7%,0.0%,78.7%,82.2%,17.8%
Montville,36.3%,"1,169",143,212,50,25,21739,18.5895814104,19.0%,0.8%,2.1%,0.2%,0.3%,0.0%,77.5%,4.9%,95.1%
Bellmawr,36.3%,"3,847",144,115,49,60,11482,2.9842823439,9.8%,2.3%,2.0%,0.3%,6.7%,0.0%,78.9%,11.7%,88.3%
Aberdeen,36.2%,"3,375",145,134,49,53,18372,5.4433856763,5.2%,8.7%,3.2%,0.1%,3.6%,0.1%,79.1%,10.7%,89.3%
Runnemede,36.1%,"4,091",146,103,49,64,8391,2.0510388756,4.1%,8.1%,3.5%,0.1%,5.0%,0.0%,79.2%,12.0%,88.0%
Robbinsville,36.1%,699,147,241,48,15,14281,20.4407702928,14.8%,3.4%,1.7%,0.0%,1.6%,0.0%,78.5%,4.9%,95.1%
Woolwich,35.9%,578,148,252,48,11,12172,21.0705642576,6.4%,9.9%,1.8%,0.0%,2.6%,0.2%,79.1%,6.1%,93.9%
Tinton Falls,35.9%,"1,157",149,215,48,24,17902,15.4747343322,5.5%,8.8%,3.5%,0.3%,2.7%,0.0%,79.3%,5.1%,94.9%
Keansburg,35.5%,"9,203",150,34,47,88,9868,1.0723120551,2.8%,7.2%,4.2%,0.4%,5.7%,0.0%,79.6%,15.2%,84.8%
Wood-Ridge,34.9%,"7,499",151,51,47,82,8350,1.1135425158,13.9%,2.7%,2.4%,0.0%,1.7%,0.0%,79.4%,13.7%,86.3%
Absecon,34.9%,"1,531",152,194,47,32,8370,5.4682010954999996,6.4%,8.7%,1.5%,0.0%,3.6%,0.0%,79.9%,7.4%,92.6%
Nutley,34.7%,"8,548",153,38,46,87,28829,3.3725858166,11.6%,3.0%,3.0%,0.0%,2.7%,0.0%,79.8%,15.7%,84.3%
Hasbrouck Heights,34.6%,"8,012",154,41,46,86,12205,1.523372994,12.9%,2.9%,1.0%,0.4%,3.1%,0.0%,79.7%,14.6%,85.4%
Warren,34.5%,818,155,232,46,18,15998,19.5657117084,18.1%,0.8%,2.1%,0.1%,0.0%,0.0%,78.9%,5.7%,94.3%
Phillipsburg,34.3%,"4,557",156,93,45,67,14540,3.190602987,1.4%,11.2%,3.5%,0.3%,3.5%,0.0%,80.1%,13.3%,86.7%
Ridgewood,34.1%,"4,451",157,97,45,66,25554,5.7415575789,14.8%,1.7%,3.3%,0.1%,0.4%,0.0%,79.7%,7.8%,92.2%
Mahwah,33.9%,"1,047",158,221,45,22,26581,25.3897885098,13.2%,3.3%,1.1%,0.2%,2.1%,0.1%,80.1%,8.8%,91.2%
Ocean,33.7%,"2,485",159,159,44,44,27006,10.8670567005,6.0%,8.0%,3.4%,0.3%,1.5%,0.0%,80.7%,11.7%,88.3%
Gloucester City,33.6%,"4,908",160,87,44,70,11333,2.3093092737,5.8%,3.5%,0.3%,0.1%,9.7%,0.0%,80.6%,14.4%,85.6%
Mount Olive,33.2%,980,161,223,43,22,29010,29.6106622812,8.5%,6.5%,2.2%,0.5%,1.4%,0.0%,81.0%,12.8%,87.2%
Boonton,33.1%,"3,596",162,124,43,57,8390,2.3332609872,8.5%,3.0%,4.2%,0.0%,3.2%,0.0%,81.1%,14.3%,85.7%
North Arlington,33.0%,"6,391",163,62,43,78,15877,2.4843152763,8.1%,2.8%,2.2%,0.0%,5.7%,0.0%,81.2%,27.7%,72.3%
Summit,33.0%,"3,696",164,118,42,59,22155,5.9940086778,7.7%,3.5%,1.8%,0.0%,5.8%,0.0%,81.2%,15.6%,84.4%
South River,32.0%,"5,869",165,71,42,75,16345,2.784993354,4.0%,6.3%,3.5%,0.1%,3.6%,0.5%,81.9%,24.2%,75.8%
Randolph,31.5%,"1,240",166,210,42,26,25918,20.9039362389,10.6%,2.8%,2.7%,0.0%,1.8%,0.1%,82.0%,10.0%,90.0%
Collingswood,31.5%,"7,633",167,48,41,83,13969,1.8300101390999999,2.1%,12.0%,1.6%,0.0%,2.4%,0.0%,81.8%,8.3%,91.7%
Matawan,31.4%,"3,927",168,113,41,60,8898,2.2658637573,7.5%,8.1%,2.1%,0.0%,0.1%,0.0%,82.0%,10.3%,89.7%
Delran,31.3%,"2,526",169,158,41,45,16747,6.6307304349,5.0%,9.6%,1.7%,0.0%,1.3%,0.2%,82.1%,2.3%,97.7%
Fair Lawn,31.0%,"6,514",170,59,40,80,33447,5.1350164866,13.3%,1.6%,1.6%,0.1%,1.5%,0.0%,81.9%,13.7%,86.3%
Ventnor City,30.5%,"5,341",171,78,40,73,10429,1.9524953448,9.8%,3.5%,2.4%,0.0%,1.6%,0.0%,82.7%,23.0%,77.0%
New Providence,30.3%,"3,448",172,127,40,55,12716,3.6882793232999997,12.9%,0.9%,2.9%,0.2%,0.5%,0.1%,82.4%,7.8%,92.2%
Hammonton,30.3%,357,173,266,39,6,14557,40.7642345253,1.4%,2.9%,3.3%,0.1%,9.4%,0.1%,82.8%,20.6%,79.4%
Hoboken,30.2%,"43,287",174,4,39,99,54117,1.2502014525,9.3%,2.7%,3.4%,0.0%,1.6%,0.0%,82.9%,16.2%,83.8%
East Greenwich,30.1%,714,175,239,39,16,10320,14.4437125833,5.3%,8.7%,2.4%,0.0%,0.5%,0.2%,82.9%,3.1%,96.9%
Freehold,29.8%,917,176,228,38,20,35429,38.6529312312,7.3%,5.6%,2.1%,0.2%,1.4%,0.1%,83.2%,8.9%,91.1%
Middle,29.3%,265,177,277,38,2,18623,70.3003455297,1.3%,11.8%,2.4%,0.1%,1.1%,0.0%,83.2%,6.0%,94.0%
Moorestown,29.3%,"1,397",178,202,37,29,20568,14.7236512995,7.2%,6.3%,2.3%,0.1%,0.5%,0.0%,83.5%,2.1%,97.9%
Franklin,28.9%,297,179,275,37,3,16579,55.8300148263,2.5%,6.8%,2.8%,0.0%,4.1%,0.0%,83.9%,6.9%,93.1%
Garfield,28.9%,"15,067",180,14,37,95,31808,2.111036499,2.4%,4.6%,2.7%,0.1%,6.3%,0.0%,83.9%,35.8%,64.2%
Hopewell,28.6%,319,181,272,36,4,18503,58.0653817029,6.6%,5.5%,2.7%,0.0%,1.2%,0.0%,84.0%,5.4%,94.6%
Florham Park,28.5%,"1,614",182,188,36,34,11792,7.3074648933,10.8%,4.3%,0.7%,0.2%,0.2%,0.0%,83.8%,6.6%,93.4%
Hanover,28.3%,"1,373",183,205,36,28,14436,10.514950875,13.8%,1.3%,0.9%,0.0%,0.5%,0.0%,83.5%,8.7%,91.3%
Totowa,27.8%,"2,707",184,149,35,48,10829,4.0002141465,6.4%,3.5%,1.7%,0.0%,3.9%,0.0%,84.6%,16.4%,83.6%
Bound Brook,27.6%,"6,326",185,65,35,77,10510,1.6612867557,2.2%,4.2%,1.5%,0.6%,6.9%,0.0%,84.7%,52.2%,47.8%
Hackettstown,27.5%,"2,649",186,153,35,46,9569,3.6118245735,3.6%,3.2%,0.8%,0.1%,7.5%,0.1%,84.7%,20.8%,79.2%
East Hanover,27.4%,"1,427",187,198,34,30,11241,7.8747755229,13.0%,0.8%,1.8%,0.1%,0.1%,0.0%,84.2%,14.4%,85.6%
Cedar Grove,27.4%,"2,983",188,141,34,51,12638,4.236802713,7.2%,6.9%,0.9%,0.2%,0.1%,0.1%,84.6%,5.5%,94.5%
Madison,27.1%,"3,728",189,117,34,59,16080,4.3133617098,6.7%,4.1%,2.9%,0.0%,1.2%,0.0%,85.0%,9.6%,90.4%
Glen Rock,27.0%,"4,425",190,98,33,66,11962,2.7034559838,11.0%,0.9%,2.9%,0.3%,0.1%,0.2%,84.7%,7.0%,93.0%
Westfield,26.6%,"4,549",191,94,33,67,30591,6.7240870983,6.3%,3.5%,1.9%,0.0%,3.0%,0.0%,85.3%,7.6%,92.4%
Rockaway,26.4%,594,192,249,33,12,24758,41.7045281796,6.4%,4.0%,2.4%,0.0%,1.8%,0.0%,85.4%,12.0%,88.0%
Franklin Lakes,26.3%,"1,163",193,214,32,25,10953,9.4143299679,8.5%,1.8%,1.9%,0.0%,2.2%,0.2%,85.3%,7.6%,92.4%
Berkeley Heights,26.2%,"2,183",194,173,32,39,13576,6.2194849002,12.3%,1.7%,0.7%,0.1%,0.2%,0.0%,85.0%,5.5%,94.5%
Little Falls,26.1%,"5,193",195,82,31,71,14524,2.7967875507,6.7%,3.5%,2.8%,0.0%,1.3%,0.0%,85.6%,11.1%,88.9%
West Deptford,26.0%,"1,390",196,203,31,29,21348,15.3561232539,2.0%,8.8%,1.4%,0.1%,2.1%,0.1%,85.5%,3.9%,96.1%
Evesham,25.9%,"1,560",197,191,31,33,45489,29.1526600365,6.1%,5.0%,1.9%,0.0%,1.2%,0.1%,85.7%,4.7%,95.3%
Morris,25.7%,"1,435",198,196,30,31,22498,15.6818623104,5.1%,4.3%,2.8%,0.1%,1.9%,0.0%,85.9%,7.3%,92.7%
Lyndhurst,25.6%,"4,786",199,92,30,68,21937,4.5839390454,8.0%,1.2%,1.7%,0.1%,3.3%,0.0%,85.8%,22.7%,77.3%
Chatham,25.3%,"1,168",200,213,30,25,10507,8.9956245951,10.3%,2.0%,1.7%,0.0%,0.3%,0.0%,85.8%,3.1%,96.9%
Branchburg,25.2%,731,201,237,29,17,14683,20.0728849464,8.3%,4.8%,0.5%,0.1%,0.3%,0.0%,86.0%,3.3%,96.7%
Lopatcong,24.8%,"1,134",202,216,29,24,8300,7.3160533017,4.7%,6.1%,1.0%,0.0%,1.8%,0.0%,86.3%,6.5%,93.5%
Hillsdale,24.0%,"3,626",203,122,29,57,10520,2.9016426582,8.4%,1.6%,0.6%,0.0%,2.7%,0.0%,86.7%,8.9%,91.1%
Irvington,24.0%,"18,775",204,7,28,98,54715,2.9141951553,1.5%,86.8%,1.0%,0.0%,4.2%,0.0%,6.4%,9.6%,90.4%
Howell,23.8%,860,205,230,28,19,52076,60.5602309455,5.2%,3.9%,2.2%,0.1%,1.5%,0.1%,87.0%,9.6%,90.4%
Washington,23.7%,"2,255",206,168,28,41,48119,21.3426303948,4.4%,5.5%,2.3%,0.1%,0.7%,0.0%,87.0%,3.9%,96.1%
Wanaque,23.6%,"1,462",207,195,27,31,11782,8.057607386399999,4.4%,4.0%,3.8%,0.0%,0.8%,0.0%,87.1%,9.7%,90.3%
Roxbury,23.6%,"1,125",208,217,27,24,23458,20.8458069534,5.1%,4.6%,1.3%,0.0%,1.8%,0.0%,87.1%,10.2%,89.8%
Waldwick,23.6%,"4,880",209,89,27,69,9985,2.0462593437,8.2%,1.9%,1.7%,0.0%,1.2%,0.0%,87.0%,10.0%,90.0%
Waterford,23.6%,299,210,274,26,4,10749,36.0021852333,0.3%,4.0%,4.8%,0.0%,3.7%,0.0%,87.1%,5.9%,94.1%
Wayne,23.5%,"2,324",211,164,26,42,55154,23.7316801293,8.2%,1.8%,1.5%,0.1%,1.4%,0.0%,87.1%,12.1%,87.9%
East Orange,23.4%,"16,588",212,13,25,96,65151,3.9275667288,1.2%,87.2%,1.3%,0.3%,6.4%,0.0%,3.5%,9.2%,90.8%
Denville,23.2%,"1,405",213,200,25,30,16822,11.9744826201,8.3%,2.2%,1.5%,0.0%,0.9%,0.0%,87.2%,6.6%,93.4%
Jackson,22.7%,570,214,253,25,11,56501,99.17094291389999,3.5%,5.5%,1.8%,0.0%,1.6%,0.0%,87.7%,9.5%,90.5%
Pompton Lakes,22.6%,"3,888",215,114,24,60,11205,2.8821098592,5.6%,1.3%,3.2%,0.0%,2.2%,0.0%,87.7%,16.9%,83.1%
Saddle Brook,22.2%,"5,229",216,81,24,72,14076,2.6919706671,8.9%,1.3%,1.0%,0.0%,1.0%,0.0%,87.7%,14.7%,85.3%
South Amboy,21.8%,"5,730",217,75,24,74,8811,1.5377312807999999,3.7%,5.9%,1.3%,0.0%,0.9%,0.0%,88.1%,13.7%,86.3%
Toms River,21.8%,"2,253",218,169,23,41,91415,40.5787281471,4.2%,3.2%,2.1%,0.1%,2.2%,0.0%,88.2%,8.3%,91.7%
Barnegat,21.6%,651,219,245,23,14,22141,34.0089999678,0.5%,7.2%,1.6%,0.2%,2.3%,0.0%,88.2%,8.7%,91.3%
Chatham,21.5%,"3,836",220,116,23,59,9003,2.3470895447999998,8.5%,1.6%,1.5%,0.0%,0.3%,0.0%,88.1%,9.8%,90.2%
Manalapan,21.3%,"1,308",221,208,22,27,40096,30.6508029399,8.1%,1.2%,1.2%,0.2%,1.0%,0.0%,88.3%,5.9%,94.1%
Lincoln Park,20.6%,"1,636",222,187,22,34,10464,6.3977441814,5.3%,2.3%,2.2%,0.0%,1.3%,0.0%,88.9%,11.6%,88.4%
Wallington,20.5%,"11,771",223,20,22,93,11701,0.9940669596,5.7%,3.7%,0.8%,0.2%,0.7%,0.0%,88.9%,14.5%,85.5%
Bedminster,20.5%,316,224,273,21,4,8244,26.1205287057,7.0%,1.4%,1.4%,0.0%,1.3%,0.0%,88.9%,7.1%,92.9%
Verona,20.2%,"4,862",225,90,21,69,13585,2.7941933448,6.4%,2.0%,2.0%,0.0%,0.6%,0.0%,89.1%,5.5%,94.5%
Manville,20.1%,"4,420",226,99,20,65,10436,2.3608848978,1.6%,4.6%,0.9%,0.0%,3.7%,0.1%,89.2%,23.4%,76.6%
Ringwood,20.0%,487,227,258,20,9,12451,25.5816975843,4.1%,1.3%,1.6%,1.8%,2.0%,0.0%,89.3%,6.7%,93.3%
Cranford,19.9%,"4,958",228,84,20,71,23972,4.8350368638,3.1%,2.8%,1.3%,0.0%,3.4%,0.0%,89.3%,10.0%,90.0%
Ramsey,19.7%,"2,748",229,148,19,48,15121,5.5028219103,10.2%,0.1%,0.5%,0.0%,0.2%,0.0%,89.0%,5.6%,94.4%
River Vale,19.6%,"2,471",230,160,19,44,10055,4.0689098307,7.9%,0.2%,1.9%,0.3%,0.4%,0.0%,89.3%,4.5%,95.5%
Millstone,19.6%,288,231,276,19,3,10522,36.5902174638,3.8%,1.9%,2.5%,0.2%,1.9%,0.2%,89.5%,6.6%,93.4%
Raritan,18.8%,590,232,250,18,12,22103,37.4815042173,5.8%,2.5%,1.6%,0.0%,0.3%,0.0%,89.9%,5.3%,94.7%
Northfield,18.7%,"2,367",233,163,18,43,8480,3.5824458384,5.3%,1.4%,1.5%,0.0%,1.7%,0.0%,90.0%,12.5%,87.5%
Manchester,18.6%,533,234,256,18,10,43418,81.41632785,2.2%,3.9%,2.5%,0.0%,1.3%,0.1%,90.1%,5.5%,94.5%
